Title,Link,Abstract,Author,BibTex,Year,Journal,SupplementalLink,Tags,
Slow Movements of Bio-inspired Limbs.,Papers/2016_Babikian_SlowMovement.pdf,"Slow and accurate finger and limb movements are essential to daily activities, but the underlying mechanics is relatively unexplored. Here, we develop a mathematical framework to examine slow movements of tendon-driven limbs that are produced by modulating the tendons&#39; stiffness parameters. Slow limb movements are driftless in the sense that movement stops when actuations stop. We demonstrate, in the context of a planar tendon-driven system representing a finger, that the control of stiffness suffices to produce stable and accurate limb postures and quasi-static (slow) transitions among them. We prove, however, that stable postures are achievable only when tendons are pretensioned, i.e., they cannot become slack. Our results further indicate that a non-smoothness in slow movements arises because the precision with which individual stiffnesses need to be altered changes substantially throughout the limb&#39;s motion.","Babikian S, Valero-Cuevas FJ, and Kanso E.","@article{babikian2016slow,
  title={Slow Movements of Bio-Inspired Limbs},
  author={Babikian, Sarine and Valero-Cuevas, Francisco J and Kanso, Eva},
  journal={Journal of Nonlinear Science},
  volume={26},
  number={5},
  pages={1293--1309},
  year={2016},
  publisher={Springer}
}",2016,,,computation_and_modeling biomechanics manipulation,
Muscle Synergies Heavily Influence the Neural Control of Arm Endpoint Stiffness and Energy Consumption.,Papers/2016_Inouye_RechingStiffness.pdf,"Much debate has arisen from research on muscle synergies with respect to both limb impedance control and energy consumption. Studies of limb impedance control in the context of reaching movements and postural tasks have produced divergent findings, and this study explores whether the use of synergies by the central nervous system (CNS) can resolve these findings and also provide insights on mechanisms of energy consumption. In this study, we phrase these debates at the conceptual level of interactions between neural degrees of freedom and tasks constraints. This allows us to examine the ability of experimentally-observed synergies—correlated muscle activations—to control both energy consumption and the stiffness component of limb endpoint impedance. In our nominal 6-muscle planar arm model, muscle synergies and the desired size, shape, and orientation of endpoint stiffness ellipses, are expressed as linear constraints that define the set of feasible muscle activation patterns. Quadratic programming allows us to predict whether and how energy consumption can be minimized throughout the workspace of the limb given those linear constraints. We show that the presence of synergies drastically decreases the ability of the CNS to vary the properties of the endpoint stiffness and can even preclude the ability to minimize energy. Furthermore, the capacity to minimize energy consumption—when available—can be greatly affected by arm posture. Our computational approach helps reconcile divergent findings and conclusions about task-specific regulation of endpoint stiffness and energy consumption in the context of synergies. But more generally, these results provide further evidence that the benefits and disadvantages of muscle synergies go hand-in-hand with the structure of feasible muscle activation patterns afforded by the mechanics of the limb and task constraints. These insights will help design experiments to elucidate the interplay between synergies and the mechanisms of learning, plasticity, versatility and pathology in neuromuscular systems.",Inouye JM and Valero-Cuevas FJ.,"@article{inouye2016muscle,
  title={Muscle synergies heavily influence the neural control of arm endpoint stiffness and energy consumption},
  author={Inouye, Joshua M and Valero-Cuevas, Francisco J},
  journal={PLoS Comput Biol},
  volume={12},
  number={2},
  pages={e1004737},
  year={2016},
  publisher={Public Library of Science}
}",2016,PLoS Comput Biol,,neuroscience computation_and_modeling biomechanics,
Robot-assisted and conventional therapies produce distinct rehabilitative trends in stroke survivors .,Papers/Valero-Cuevas_et_al_JNER_2016_with_supplmental.pdf,"Background Comparing the efficacy of alternative therapeutic strategies for the rehabilitation of motor function in chronically impaired individuals is often inconclusive. For example, a recent randomized clinical trial (RCT) compared robot-assisted vs. conventional therapy in 77 patients who had had chronic motor impairment after a cerebrovascular accident. While patients assigned to robotic therapy had greater improvements in the primary outcome measure (change in score on the upper extremity section of the Fugl-Meyer assessment), the absolute difference between therapies was small, which left the clinical relevance in question.
Methods Here we revisit that study to test whether the multidimensional rehabilitative response of these patients can better distinguish between treatment outcomes. We used principal components analysis to find the correlation of changes across seven outcome measures between the start and end of 8 weeks of therapy. Permutation tests verified the robustness of the principal components found.
Results Each therapy in fact produces different rehabilitative trends of recovery across the clinical, functional, and quality of life domains. A rehabilitative trend is a principal component that quantifies the correlations among changes in outcomes with each therapy.
Conclusions These findings challenge the traditional emphasis of RCTs on using a single primary outcome measure to compare rehabilitative responses that are naturally multidimensional. This alternative approach to, and interpretation of, the results of RCTs may will lead to more effective therapies targeted for the multidimensional mechanisms of recovery.","Valero-Cuevas FJ, Klamroth-Marganska V, Winstein CJ, Riener R","@article{valero2016robot,
  title={Robot-assisted and conventional therapies produce distinct rehabilitative trends in stroke survivors},
  author={Valero-Cuevas, Francisco J and Klamroth-Marganska, Verena and Winstein, Carolee J and Riener, Robert},
  journal={Journal of neuroengineering and rehabilitation},
  volume={13},
  number={1},
  pages={92},
  year={2016},
  publisher={BioMed Central}
}",2016,Journal of neuroengineering and rehabilitation,,robotics clinical_research,
Structure of the set of feasible neural commands for complex motor tasks. ,Papers/2015_StructureIEEE.pdf,"The brain must select its control strategies among an infinite set of possibilities, thereby researchers believe that it must be solving an optimization problem. While this set of feasible solutions is infinite and lies in high dimensions, it is bounded by kinematic, neuromuscular, and anatomical constraints, within which the brain must select optimal solu- tions. That is, the set of feasible activations is well structured. However, to date there is no method to describe and quantify the structure of these high-dimensional solution spaces, other than bounding boxes or dimensionality reduction algorithms that do not capture their full structure. We present a novel approach based on the well-known Hit-and-Run algorithm in computational geometry to extract the structure of the feasible activations that produce 50% of maximal fingertip force. We use a realistic model of a human index finger with 7 muscles, 4DOF, and 4 output dimensions. For a given force vector at the endpoint, the feasible activation space is a 3D convex polytope, embedded in the 7D unit cube. It is known that explicitly computing the volume of this polytope can become too computationally complex in many instances. However, our algorithm was able to produce 1,000,000 random points in the feasible activation space, which converged to the uniform distribution. The computed distribution of activation across each muscle shed light onto the structure of these solution spaces—rather than simply exploring their maximal and mini- mal values. Although this paper presents a 7 dimensional case of the index finger, our methods extend to systems with up to at least 40 muscles. This will allow our motor control community to understand the distributions of feasible muscle activations, which will provide important contextual information into the learning, optimization and adaptation of motor patterns in future research.","Valero-Cuevas FJ, Cohn BA, Szedlák M, Fukuda K, Gärtner B. ","@inproceedings{valero2015structure,
  title={Structure of the set of feasible neural commands for complex motor tasks.},
  author={Valero-Cuevas, FJ and Cohn, BA and Szedl{\&#39;a}k, M and Fukuda, K and Gartner, B},
  booktitle={Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference},
  volume={2015},
  pages={1440--1443},
  year={2015}
}",2015,Annual International Conference of the IEEE Engineering in Medicine and Biology Society.,,neuroscience computation_and_modeling biomechanics,
"Strength, multi-joint coordination, and sensorimotor processing are independent contributors to overall balance ability.",Papers/2015_Lawrence_Balance_Contributors.pdf,"For young adults, balance is essential for participation in physical activities but is often disrupted following lower extremity injury. Clinical outcome measures such as single limb balance (SLB), Y-balance (YBT), and the single limb hop and balance (SLHB) tests are commonly used to quantify balance ability following injury. Given the varying demands across tasks, it is likely that such outcome measures provide useful, although task-specific, information. But the extent to which they are independent and contribute to understanding the multiple contributors to balance is not clear. Therefore, the purpose of this study was to investigate the associations among these measures as they relate to the different contributors to balance. Thirty-seven recreationally active young adults completed measures including Vertical Jump, YBT, SLB, SLHB, and the new Lower Extremity Dexterity test. Principal components analysis revealed that these outcome measures could be thought of as quantifying the strength, multijoint coordination, and sensorimotor processing contributors to balance. Our results challenge the practice of using a single outcome measure to quantify the naturally multidimensional mechanisms for everyday functions such as balance. This multidimensional approach to, and interpretation of, multiple contributors to balance may lead to more effective, specialized training and rehabilitation regimens.","Lawrence EL, Cesar GM, Bromfield M, Peterson R, Valero-Cuevas FJ, Sigward SM.","@article{lawrence2015strength,
  title={Strength, multijoint coordination, and sensorimotor processing are independent contributors to overall balance ability},
  author={Lawrence, Emily L and Cesar, Guilherme M and Bromfield, Martha R and Peterson, Richard and Valero-Cuevas, Francisco J and Sigward, Susan M},
  journal={BioMed research international},
  volume={2015},
  year={2015},
  publisher={Hindawi Publishing Corporation}
}",2015,BioMed research international,,biomechanics,
The lower extremity dexterity test quantifies sensorimotor control for cross country skiing.,Papers/2015_LED_ICSS.pdf,,"Krenn O, Werner I, Lawrence EL, Valero-Cuevas FJ.","@article{krenn2015lower,
  title={The lower extremity dexterity test quantifies sensorimotor control for cross-country skiing},
  author={Krenn, Oliver and Werner, Inge and Lawrence, Emily and Valero-Cuevas, Francisco J},
  journal={Science in Skiing VI},
  pages={439--445},
  year={2015}
}",2015,Science in Skiing VI,,biomechanics,
Force variability during dexterous manipulation in individuals with mild to moderate Parkinson&#39;s disease.,Papers/Ko_PDDexterity.pdf,"Parkinson&#39;s disease (PD) is a progressive neurodegenerative disease affecting about 1–2% of the population over the age of 65. Individuals with PD experience gradual deterioration of dexterous manipulation for activities of daily living; however, current clinical evaluations are mostly subjective and do not quantify changes in dynamic control of fingertip force that is critical for manual dexterity. Thus, there is a need to develop clinical measures to quantify those changes with aging and disease progression. We investigated the dynamic control of fingertip forces in both hands of 20 individuals with PD (69.0 ± 7.4 years) using the Strength–Dexterity test. The test requires low forces (<3 N) to compress a compliant and slender spring prone to buckling. A maximal level of sustained compression is informative of the greatest instability the person can control, and thus is indicative of the integrity of the neuromuscular system for dexterous manipulation. Miniature sensors recorded fingertip force (F) during maximal sustained compressions. The force variability during sustained compression was quantified in two frequency bands: low (<4 Hz, F_LF) and high (4–12 Hz, F_HF). F_LF characterizes variability in voluntary fluctuations, while F_HF characterizes variability in involuntary fluctuations including tremor. The more-affected hand exhibited significantly lower F and lower F_LF than those in the less-affected hand. The more-affected hand showed significant negative correlations between F_LF and the Unified Parkinson&#39;s Disease Rating Scale motor scores for both total and hand-only, suggesting that greater force variability in the voluntary range was associated with less clinical motor impairment. We conclude the nature of force variability in the voluntary range during this dynamic and dexterous task may be a biomarker of greater motor capability/flexibility/adaptability in PD. This approach may provide a more quantitative clinical assessment of changes of sensorimotor control in individuals with PD.","Ko N, Laine CM, Fisher BE, Valero-Cuevas FJ.","@article{ko2015force,
  title={Force variability during dexterous manipulation in individuals with mild to moderate Parkinson&#39;s disease},
  author={Ko, Na-hyeon and Laine, Christopher M and Fisher, Beth E and Valero-Cuevas, Francisco J},
  journal={Frontiers in aging neuroscience},
  volume={7},
  year={2015},
  publisher={Frontiers Media SA}
}",2015,Frontiers in aging neuroscience,,biomechanics clinical_research manipulation,
"Outcome measures for hand function naturally reveal three latent domains in older adults: strength, coordinated upper extremity function, and sensorimotor processing",Papers/2015_Lawrence_HandOutcomeMeasures.pdf,"Understanding the mapping between individual outcome measures and the latent functional domains of interest is critical to a quantitative evaluation and rehabilitation of hand function. We examined whether and how the associations among six hand-specific outcome measures reveal latent functional domains in elderly individuals. We asked 66 healthy older adult participants (38F, 28M, 66.1 ± 11.6 years, range: 45–88 years) and 33 older adults (65.8 ± 9.7 years, 44–81 years, 51 hands) diagnosed with osteoarthritis (OA) of the carpometacarpal (CMC) joint, to complete six functional assessments: hand strength (Grip, Key and Precision Pinch), Box and Block, Nine Hole Pegboard, and Strength-Dexterity tests. The first three principal components suffice to explain 86% of variance among the six outcome measures in healthy older adults, and 84% of variance in older adults with CMC OA. The composition of these dominant associations revealed three distinct latent functional domains: strength, coordinated upper extremity function, and sensorimotor processing. Furthermore, in participants with thumb CMC OA we found a blurring of the associations between the latent functional domains of strength and coordinated upper extremity function. This motivates future work to understand how the physiological effects of thumb CMC OA lead upper extremity coordination to become strongly associated with strength, while dynamic sensorimotor ability remains an independent functional domain. Thus, when assessing the level of hand function in our growing older adult populations, it is particularly important to acknowledge its multidimensional nature—and explicitly consider how each outcome measure maps to these three latent and fundamental domains of function. Moreover, this ability to distinguish among latent functional domains may facilitate the design of treatment modalities to target the rehabilitation of each of them.","Lawrence EL, Dayanidhi S, Fassola I, Requejo P, Leclercq C, Winstein CW, Valero-Cuevas FJ.","@article{lawrence2015outcome,
  title={Outcome measures for hand function naturally reveal three latent domains in older adults: strength, coordinated upper extremity function, and sensorimotor processing},
  author={Lawrence, Emily L and Dayanidhi, Sudarshan and Fassola, Isabella and Requejo, Philip and Leclercq, Caroline and Winstein, Carolee J and Valero-Cuevas, Francisco J},
  journal={Frontiers in aging neuroscience},
  volume={7},
  pages={108},
  year={2015},
  publisher={Frontiers}
}",2015,Frontiers in aging neuroscience,,clinical-research biomechanics,
Activity in the brain network for dynamic manipulation of unstable objects is robust to acute tactile nerve block: an fMRI study,Papers/Pavlova2015.pdf,"Objective: To study whether a temporary block of the tactile afferents from the fingers causes altered activity in the neural network for dexterous manipulation. Methods: Whole-brain functional Magnetic Resonance Imaging (fMRI) was conducted in 18 healthy subjects, while they compressed an unstable spring between the thumb and index finger of the right hand. Two sensory conditions – with and without tactile input from the fingers – were employed. In the latter condition the digital nerves were blocked by local anesthesia. Results: Compression of the unstable spring was associated with activity in an earlier described network for object manipulation. We found that this entire network remained active after a nerve block, and the activity was increased in the dorsal premotor cortex. Conclusions: The neural network for dexterous manipulation is robust with only minor alterations after acute loss of tactile information from the fingers. There was no loss of activity, but, unexpectedly, an increased activity in some parts of the network. Significance: This study gives new insights to possible neural compensatory mechanisms that make fine motor control possible after acute disruption of tactile information in natural situations like cold weather or wearing surgical gloves.","Pavlova EL, Hedberg A, Ponten E, Gantelius S, Valero-Cuevas FJ, Forssberg H.","@article{pavlova2015activity,
  title={Activity in the brain network for dynamic manipulation of unstable objects is robust to acute tactile nerve block: an fMRI study},
  author={Pavlova, Elena and Hedberg, {\AA}sa and Ponten, Eva and Gantelius, Stefan and Valero-Cuevas, Francisco J and Forssberg, Hans},
  journal={brain research},
  volume={1620},
  pages={98--106},
  year={2015},
  publisher={Elsevier}
}",2015,brain research,,manipulation neuroscience clinical_research,
Exploring the high-dimensional structure of muscle redundancy via subject-specific and generic musculoskeletal models,Papers/2015_JOB_Valero-Cuevas.pdf,"Subject-specific and generic musculoskeletal models are the computational instantiation of hypotheses, and stochastic techniques help explore their validity. We present two such examples to explore the hypothesis of muscle redundancy. The first addresses the effect of anatomical variability on static force capabilities for three individual cat hindlimbs, each with seven kinematic degrees of freedom (DoFs) and 31 muscles. We present novel methods to characterize the structure of the 31-dimensional set of feasible muscle activations for static force production in every 3-D direction. We find that task requirements strongly define the set of feasible muscle activations and limb forces, with few differences comparing individual vs. species-average results. Moreover, muscle activity is not smoothly distributed across 3-D directions. The second example explores parameter uncertainty during a flying disc throwing motion by using a generic human arm with five DoFs and 17 muscles to predict muscle fiber velocities. We show that the measured joint kinematics fully constrain the eccentric and concentric fiber velocities of all muscles via their moment arms. Thus muscle activation for limb movements is likely not redundant: there is little, if any, latitude in synchronizing alpha–gamma motoneuron excitation–inhibition for muscles to adhere to the time-critical fiber velocities dictated by joint kinematics. Importantly, several muscles inevitably exhibit fiber velocities higher than thought tenable, even for conservative throwing speeds. These techniques and results, respectively, enable and compel us to continue to revise the classical notion of muscle redundancy for increasingly more realistic models and tasks.","Valero-Cuevas FJ, Cohn BA, Yngvason HF, Lawrence EL.","@article{valero2015exploring,
  title={Exploring the high-dimensional structure of muscle redundancy via subject-specific and generic musculoskeletal models},
  author={Valero-Cuevas, FJ and Cohn, BA and Yngvason, HF and Lawrence, EL},
  journal={Journal of biomechanics},
  volume={48},
  number={11},
  pages={2887--2896},
  year={2015},
  publisher={Elsevier}
}",2015,Journal of biomechanics,,computation_and_modeling biomechanics  ,
Innovative evaluation of dexterity in pediatrics,Papers/Duff_JHT.pdf,"Study design Review paper.
Introduction Hand dexterity is multifaceted and essential to the performance of daily tasks. Timed performance and precision demands are the most common features of quantitative dexterity testing. Measurement concepts such as rate of completion, in-hand manipulation and dynamic force control of instabilities are being integrated into assessment tools for the pediatric population.
Purpose To review measurement concepts inherent in pediatric dexterity testing and introduce concepts that are infrequently measured or novel as exemplified with two assessment tools.
Methods Measurement concepts included in common assessment tools are introduced first. We then describe seldom measured and novel concepts embedded in two instruments; the Functional Dexterity Test (FDT) and the Strength–Dexterity (SD) Test.
Discussion The inclusion of novel yet informative tools and measurement concepts in our assessments could aid our understanding of atypical dexterity, and potentially contribute to the design of targeted therapy programs.","Duff SV, Aaron DH, Gogola, GR, Valero-Cuevas FJ.","@article{duff2015innovative,
  title={Innovative evaluation of dexterity in pediatrics},
  author={Duff, Susan V and Aaron, Dorit H and Gogola, Gloria R and Valero-Cuevas, Francisco J},
  journal={Journal of Hand Therapy},
  volume={28},
  number={2},
  pages={144--150},
  year={2015},
  publisher={Elsevier}
}",2015,Journal of Hand Therapy,,biomechanics manipulation,
The lower extremity dexterity test quantifies sensorimotor control for cross country skiing.,Papers/2015_LED_ICSS.pdf,"Research on top-level
cross-country skiing ability is
predominately centered on the athlete´s
physical fitness, biomechanical aspects
of the skiing technique, and materials
that make up ski hardware. Results
concerning aerobic endurance capacity
have been extended by new findings
regarding the importance of anaerobic
capacity and upper body power and
strength training to improve poling
form and achieve higher speeds
(Sandbakk et al. 2014, Mikkola et al.
2010). Furthermore, biomechanical
studies of skiing at higher speeds
reveal both higher poling frequency
and increased cycle length (Lindinger
et al. 2009, Sandbakk et al. 2011)
including the gliding phase. Finally, ski
friction is measured with tribometers in
specialized labs developed to improve
ski-base hardware. However, despite
these scientific advances, we lack a
scientific understanding, and means to
evaluate, the sensorimotor control
mechanisms that determine gliding
skill of athletes.","Krenn O, Werner I, Lawrence EL, Valero-Cuevas FJ.","@article{krenn2015lower,
  title={The lower extremity dexterity test quantifies sensorimotor control for cross-country skiing},
  author={Krenn, Oliver and Werner, Inge and Lawrence, Emily and Valero-Cuevas, Francisco J},
  journal={Science in Skiing VI},
  pages={439--445},
  year={2015}
}",2015,Science in Skiing VI,,biomechanics,
Long Term Functional Outcomes After Early Childhood Pollicization,Papers/Lightdale_Miric_JHT.pdf,"Study design Retrospective Cohort
Introduction Important outcomes of polliciation to treat thumb hypoplasia/aplasia include strength, function, dexterity, and quality of life.
Purpose of the Study To evaluate outcomes and examine predictors of outcome after early childhood pollicization.
Methods 8 children (10 hands) were evaluated 3–15 years after surgery. Physical examination, questionnaires, grip and pinch strength, Box and Blocks, 9-hole pegboard, and strength-dexterity (S-D) tests were performed.
Results Pollicized hands had poor strength and performance on functional tests. Six of 10 pollicized hands had normal dexterity scores but less stability in maintaining a steady-state force. Predictors of poorer outcomes included older age at surgery, reduced metacarpophalangeal and interphalangeal range of motion, and radial absence.
Discussion Pollicization resulted in poor strength and overall function, but normal dexterity was often achieved using altered control strategies.
Conclusions Most children should obtain adequate dexterity despite weakness after pollicization except older or severely involved children.
Level of evidence IV","Lightdale-Miric N, Mueske NM, Lawrence EL, Loiselle J, Berggren J, Dayanidhi S, Stevanovic M, Valero-Cuevas FJ, Wren TAL.","@article{lightdale2015long,
  title={Long term functional outcomes after early childhood pollicization},
  author={Lightdale-Miric, Nina and Mueske, Nicole M and Lawrence, Emily L and Loiselle, Jennifer and Berggren, Jamie and Dayanidhi, Sudarshan and Stevanovic, Milan and Valero-Cuevas, Francisco J and Wren, Tishya AL},
  journal={Journal of Hand Therapy},
  volume={28},
  number={2},
  pages={158--166},
  year={2015},
  publisher={Elsevier}
}",2014,Journal of Hand Therapy,,clinical_reseach manipulation,
Quantitative Assessment of Dynamic Control of Fingertip Forces After Pollicization,Papers/Lightdale2014GaitPosture.pdf,"Dexterity after finger pollicization (reconstruction to thumb) is critical to functional outcomes. While most tests of hand function evaluate a combination of strength, coordination, and motor control, the Strength–Dexterity (S–D) paradigm focuses on the dynamic control of fingertip forces. We evaluated 10 pollicized and 5 non-pollicized hands from 8 participants ages 4–17 years (2 female, 6 male; 10.6 ± 4.5 years). Participants partially compressed and held an instrumented spring prone to buckling between the thumb and first finger to quantify dynamic control over the direction and magnitude of fingertip forces. They also completed traditional functional tests including grip, lateral pinch, and tripod pinch strength, Box and Blocks, and 9-hole peg test. Six of 10 pollicized hands and all non-pollicized hands had S–D scores comparable to typically developing children. However, dynamical analysis showed that pollicized hands exhibit greater variability in compression force, indicating poorer corrective action. Almost all pollicized hands scored below the normal range for the traditional functional tests. The S–D test Z-scores correlated moderately with Z-scores from the other functional tests (r = 0.54–0.61; p = 0.02–0.04) but more weakly than amongst the other functional measures (r = 0.58–0.83; p = 0.0002–0.02), suggesting that the S–D test captures a different domain of function. A higher incidence of radial absence in the hands with poor S–D scores (3/4 vs. 0/6 in hands with normal S–D scores, p = 0.03) was the only clinical characteristic associated with S–D outcome. Overall, these results suggest that while most pollicized hands can control fingertip forces, the nature of that control is altered.","Lightdale-Miric N, Mueske NM, Dayanidhi S, Loiselle J, Berggren J, Lawrence EL, Stevanovic M, Valero-Cuevas FJ, Wren TAL.","@article{lightdale2015quantitative,
  title={Quantitative assessment of dynamic control of fingertip forces after pollicization},
  author={Lightdale-Miric, Nina and Mueske, Nicole M and Dayanidhi, Sudarshan and Loiselle, Jennifer and Berggren, Jamie and Lawrence, Emily L and Stevanovic, Milan and Valero-Cuevas, Francisco J and Wren, Tishya AL},
  journal={Gait \& posture},
  volume={41},
  number={1},
  pages={1--6},
  year={2015},
  publisher={Elsevier}
}",2014,Gait & posture,,clinical_reseach manipulation,
"Quantification of dexterity as the dynamical regulation of instabilities: comparisons across gender, age, and disease",Papers/Lawrence_Dexterity_2014.pdf,,"Lawrence EL, Fassola I, Werner I, Leclercq C, Valero-Cuevas FJ.","@article{lawrence2014quantification,
  title={Quantification of dexterity as the dynamical regulation of instabilities: comparisons across gender, age, and disease},
  author={Lawrence, Emily L and Fassola, Isabella and Werner, Inge and Leclercq, Caroline and Valero-Cuevas, Francisco J},
  journal={Frontiers in neurology},
  volume={5},
  year={2014},
  publisher={Frontiers Media SA}
}",2014,Frontiers in neurology,,clinical_research manipulation,
Dexterous manipulation is poorer at older ages and is dissociated from decline of hand strength,Papers/2014_Dayanidhi_Aging_JoGA.pdf,"Background.
The ability to dynamically control fingertip force vector magnitude and direction is critical for dexterous manipulation. We quantified the dynamic control of fingertip forces to examine how dexterous manipulation declines with age.
Methods.
The strength–dexterity (SD) test measures fingertip forces during compression of a slender spring prone to instability and buckling. The greatest sustained compression (designed to be under 3 N), and force dynamics therein, have been shown to be simple and quick measures of dynamic dexterous manipulation ability. We measured pinch strength and strength–dexterity test in a cross-sectional population of 98 people from 18 to 89 years of age.
Results.
Dexterous manipulation ability is poorer at older ages, beginning in middle age (p < .001), with greater decline past 65 years of age. Fingertip force dynamics during spring compression and stabilization show a deterioration of neuromuscular control with age. Importantly, this novel detection of decline in dynamic manipulation ability is not correlated with, and thus cannot be entirely explained by, the known decline in pinch strength. We also measured standardized tests of dexterity in participants older than 45, and discuss how the strength–dexterity test uniquely captures features of sensorimotor capabilities for dexterous manipulation in this adult population.
Conclusions.
Starting in middle age, changes in the functional interactions among sensory, motor, and neural capabilities result in measurably poorer dynamic dexterous manipulation. This deterioration of neuromuscular control motivates and enables future studies to understand the physiological bases for this functional decline so critical to activities of daily living and quality of life.",Dayanidhi S and Valero-Cuevas FJ.,"@article{dayanidhi2014dexterous,
  title={Dexterous manipulation is poorer at older ages and is dissociated from decline of hand strength},
  author={Dayanidhi, Sudarshan and Valero-Cuevas, Francisco J},
  journal={The Journals of Gerontology Series A: Biological Sciences and Medical Sciences},
  pages={glu025},
  year={2014},
  publisher={Oxford University Press}
}",2014,The Journals of Gerontology Series A: Biological Sciences and Medical Sciences,,clinical_research manipulation,
Lower extremity dexterity is associated with agility in adolescent soccer athletes,Papers/Lyle_2013_SJMSS_LED.pdf,"Agility is important for sport performance and potentially injury risk; however, factors affecting this motor skill remain unclear. Here, we evaluated the extent to which lower extremity dexterity (LED) and muscle performance were associated with agility. Fourteen male and 14 female soccer athletes participated. Agility was evaluated using a hopping sequence separately with both limbs and with the dominant limb only. The LED test evaluated the athletes&#39; ability to dynamically regulate foot–ground interactions by compressing a spring prone to buckling with the lower limb. Muscle performance included hip and knee isometric strength and vertical jump height. Correlation analyses were used to assess the associations between muscle performance, LED, and agility. Multiple regression models were used to determine whether linear associations differed between sexes. On average, the female athletes took longer to complete the agility tasks than the male athletes. This difference could not be explained by muscle performance. Conversely, LED was found to be the primary determinant of agility (double limb: R2 = 0.61, P < 0.001; single limb: R2 = 0.63, P < 0.001). Our findings suggest that the sensorimotor ability to dynamically regulate foot–ground interactions as assessed by the LED test is predictive of agility in soccer athletes. We propose that LED may have implications for sport performance, injury risk, and rehabilitation.","Lyle MA, Valero-Cuevas FJ, Gregor RJ, Powers CM.","@article{lyle2013lower,
  title={Lower extremity dexterity is associated with agility in adolescent soccer athletes},
  author={Lyle, Mark A and Valero-Cuevas, Francisco J and Gregor, Robert J and Powers, Christopher M},
  journal={Scandinavian journal of medicine \& science in sports},
  volume={25},
  number={1},
  pages={81--88},
  year={2013},
  publisher={Wiley Online Library}
}",2013,Scandinavian journal of medicine \& science in sports,,clinical_research,
Spatio-temporal analysis reveals active control of both task-relevant and task-irrelevant variables.,Papers/2013RaczValero-Cuevas_Spatiotemporal.pdf,"The Uncontrolled Manifold (UCM) hypothesis and Minimal Intervention principle propose that the observed differential variability across task relevant (i.e., task goals) vs. irrelevant (i.e., in the null space of those goals) variables is evidence of a separation of task variables for efficient neural control, ranked by their respective variabilities (sometimes referred to as hierarchy of control). Support for this comes from spatial domain analyses (i.e., structure of) of kinematic, kinetic, and EMG variability. While proponents admit the possibility of preferential as opposed to strictly uncontrolled variables, such distinctions have only begun to be quantified or considered in the temporal domain when inferring control action. Here we extend the study of task variability during tripod static grasp to the temporal domain by applying diffusion analysis. We show that both task-relevant and task-irrelevant parameters show corrective action at some time scales; and conversely, that task-relevant parameters do not show corrective action at other time scales. That is, the spatial fluctuations of fingertip forces show, as expected, greater ranges of variability in task-irrelevant variables (>98% associated with changes in total grasp force; vs. only <2% in task-relevant changes associated with acceleration of the object). But at some time scales, however, temporal fluctuations of task-irrelevant variables exhibit negative correlations clearly indicative of corrective action (scaling exponents <0.5); and temporal fluctuations of task-relevant variables exhibit neutral and positive correlations clearly indicative of absence of corrective action (scaling exponents ≥0.5). In agreement with recent work in other behavioral contexts, these results propose we revise our understanding of variability vis-á-vis task relevance by considering both spatial and temporal features of all task variables when inferring control action and understanding how the CNS confronts task redundancy. Instead of a dichotomy of presence vs. absence of control, we should speak of a continuum of weaker to stronger—and potentially different—control strategies in specific spatiotemporal domains, indicated here by the magnitude of deviation from the 0.5 scaling exponent. Moreover, these results are counter examples to the UCM hypothesis and the Minimal Intervention principle, and the similar nature of control actions across time scales in both task-relevant and task-irrelevant spaces points to a level of modularity not previously recognized.",Rácz K and Valero-Cuevas FJ. ,"@article{racz2013spatio,
  title={Spatio-temporal analysis reveals active control of both task-relevant and task-irrelevant variables},
  author={R{\&#39;a}cz, Kornelius and Valero-Cuevas, Francisco},
  journal={Frontiers in computational neuroscience},
  volume={7},
  pages={155},
  year={2013},
  publisher={Frontiers}
}",2013,Frontiers in computational neuroscience,,biomechanics neuroscience,
